precio_noche,estrellas,puntuacion,noches,features,scaledFeatures,prediction
182340.0,4.0,8.8,1.0,"[182340.0,4.0,8.8,1.0]","[0.9939082651778386,2.1376484723156848,3.322939164336091,4.678687769727618]",1
103873.0,0.0,9.0,1.0,"[103873.0,0.0,9.0,1.0]","[0.5661962993792784,0.0,3.3984605089800923,4.678687769727618]",0
149261.0,4.0,8.2,1.0,"[149261.0,4.0,8.2,1.0]","[0.8135995479253557,2.1376484723156848,3.096375130404084,4.678687769727618]",1
45000.0,0.0,10.0,1.0,"[45000.0,0.0,10.0,1.0]","[0.24528831815840044,0.0,3.7760672322001025,4.678687769727618]",0
144000.0,0.0,7.3,1.0,"[144000.0,0.0,7.3,1.0]","[0.7849226181068814,0.0,2.756529079506075,4.678687769727618]",0
72476.0,0.0,9.5,1.0,"[72476.0,0.0,9.5,1.0]","[0.3950559143744051,0.0,3.5872638705900974,4.678687769727618]",0
63094.0,0.0,8.3,1.0,"[63094.0,0.0,8.3,1.0]","[0.3439160254641359,0.0,3.1341358027260853,4.678687769727618]",0
139584.0,0.0,7.8,1.0,"[139584.0,0.0,7.8,1.0]","[0.7608516578182704,0.0,2.94533244111608,4.678687769727618]",0
197716.0,0.0,7.7,1.0,"[197716.0,0.0,7.7,1.0]","[1.0777205580668066,0.0,2.907571768794079,4.678687769727618]",0
103654.0,4.0,8.4,1.0,"[103654.0,4.0,8.4,1.0]","[0.5650025628975742,2.1376484723156848,3.1718964750480865,4.678687769727618]",1
54080.0,0.0,9.1,1.0,"[54080.0,0.0,9.1,1.0]","[0.294782049911251,0.0,3.436221181302093,4.678687769727618]",0
196104.0,0.0,9.3,1.0,"[196104.0,0.0,9.3,1.0]","[1.0689337854252212,0.0,3.511742525946096,4.678687769727618]",0
517501.0,3.0,8.9,1.0,"[517501.0,3.0,8.9,1.0]","[2.8208211096731195,1.6032363542367636,3.3606998366580916,4.678687769727618]",1
128945.0,0.0,8.6,1.0,"[128945.0,0.0,8.6,1.0]","[0.7028600485541099,0.0,3.247417819692088,4.678687769727618]",0
44325.0,0.0,7.5,1.0,"[44325.0,0.0,7.5,1.0]","[0.24160899338602443,0.0,2.832050424150077,4.678687769727618]",0
45000.0,0.0,5.2,1.0,"[45000.0,0.0,5.2,1.0]","[0.24528831815840044,0.0,1.9635549607440534,4.678687769727618]",0
64763.0,0.0,8.7,1.0,"[64763.0,0.0,8.7,1.0]","[0.3530134966420553,0.0,3.285178492014089,4.678687769727618]",0
167829.0,0.0,8.8,1.0,"[167829.0,0.0,8.8,1.0]","[0.9148109588490264,0.0,3.322939164336091,4.678687769727618]",0
180000.0,0.0,9.6,1.0,"[180000.0,0.0,9.6,1.0]","[0.9811532726336017,0.0,3.625024542912098,4.678687769727618]",0
196000.0,0.0,9.0,1.0,"[196000.0,0.0,9.0,1.0]","[1.0683668968676996,0.0,3.3984605089800923,4.678687769727618]",0
34896.0,0.0,7.9,1.0,"[34896.0,0.0,7.9,1.0]","[0.1902129144545676,0.0,2.9830931134380814,4.678687769727618]",0
